#Define which features will be assigned values in an annotation type ("Concept" in this case)
@CONCEPT_FEATURES|PE|Negation|Certainty|Temporality|Experiencer|ImpressionCertainty|DiagnosticMention|Acute|Chronic|Left|Right|ArteryMain|ArteryInterlobar|ArteryLobar|ArterySegmental|ArterySubSegmental
@CONCEPT_FEATURES|PE_Site|Negation|Certainty|Temporality|Experiencer|ImpressionCertainty|DiagnosticMention|Left|Right|ArteryMain|ArteryInterlobar|ArteryLobar|ArterySegmental|ArterySubSegmental


#Define the values that a feature can have, the 1st value is the default value
#The following definitions will be used as an index for FastContext to find the corresponding Feature to assign the modifier
#value, once a modifier value is available.
#In this case the 'Negation' feature has two values: 'affirm' and 'negated', 'affirm' is the default value.
@FEATURE_VALUES|Negation|affirm|negated
@FEATURE_VALUES|Certainty|certain|uncertain
no \w+ evidence of|backward|termination|negated|30
no \w+ evidence of|forward|trigger|negated|30
no \w+ evidence to suggest|backward|termination|negated|30
no \w+ evidence to suggest|forward|trigger|negated|30
no \w+ evidence to|backward|termination|negated|30
no \w+ evidence to|forward|trigger|negated|30
no \w+ evidence|backward|termination|negated|30
no \w+ evidence|forward|trigger|negated|30
no \w+ evid|backward|termination|negated|30
no \w+ evid|forward|trigger|negated|30
no \w+ was given|forward|termination|negated|30
no abnormal|backward|termination|negated|30
no abnormal|forward|trigger|negated|30
no acute|backward|termination|negated|30
no acute|forward|trigger|negated|30
no additional significant|backward|termination|negated|30
no additional significant|forward|trigger|negated|30
no apparent|backward|termination|negated|30
no apparent|forward|trigger|negated|30
no cause of|backward|termination|negated|30
no cause of|forward|trigger|negated|30
no change|both|pseudo|negated|30
no complaints of|backward|termination|negated|30
no complaints of|forward|trigger|negated|30
no current|backward|termination|negated|30
no current|forward|trigger|negated|30
no definite change|both|pseudo|negated|30
no e/o|backward|termination|negated|30
no e/o|forward|trigger|negated|30
no e o|backward|termination|negated|30
no e o|forward|trigger|negated|30
no evidence of|backward|termination|negated|30
no evidence of|forward|trigger|negated|30
no evidence to suggest|backward|termination|negated|30
no evidence to suggest|forward|trigger|negated|30
no evidence|backward|termination|negated|30
no evidence|forward|trigger|negated|30
no findings of|backward|termination|negated|30
no findings of|forward|trigger|negated|30
no findings to indicate|backward|termination|negated|30
no findings to indicate|forward|trigger|negated|30
no findings to suggest|backward|termination|negated|30
no findings to suggest|forward|trigger|negated|30
no h o|backward|termination|negated|30
no h o|forward|trigger|negated|30
no history of|backward|termination|negated|30
no history of|forward|trigger|negated|30
no hx of|backward|termination|negated|30
no hx of|forward|trigger|negated|30
no increase|both|pseudo|negated|30
no indication of|backward|termination|negated|30
no indication of|forward|trigger|negated|30
no indications of|backward|termination|negated|30
no indications of|forward|trigger|negated|30
no interval change|both|pseudo|negated|30
no known history of|backward|termination|negated|30
no known history of|forward|trigger|negated|30
no known hx of|backward|termination|negated|30
no known hx of|forward|trigger|negated|30
no longer present|backward|trigger|negated|30
no longer|forward|trigger|negated|30
no major|forward|trigger|negated|30
no mammographic evidence of|backward|termination|negated|30
no mammographic evidence of|forward|trigger|negated|30
no mention of|backward|termination|negated|30
no mention of|forward|trigger|negated|30
no new evidence|backward|termination|negated|30
no new evidence|forward|trigger|negated|30
no new|backward|termination|negated|30
no new|forward|trigger|negated|30
no other evidence|backward|termination|negated|30
no other evidence|forward|trigger|negated|30
no other symptoms of|backward|termination|negated|30
no other symptoms of|forward|trigger|negated|30
no other|backward|termination|negated|30
no other|forward|trigger|negated|30
no problems with '|backward|termination|negated|30
no problems with '|forward|trigger|negated|30
no radiographic evidence of|backward|termination|negated|30
no radiographic evidence of|forward|trigger|negated|30
no recurrent|backward|termination|negated|30
no recurrent|forward|trigger|negated|30
no reported mention|backward|termination|negated|30
no reported mention|forward|trigger|negated|30
no reported|backward|termination|negated|30
no reported|forward|trigger|negated|30
no residual|backward|termination|negated|30
no residual|forward|trigger|negated|30
no sign of|backward|termination|negated|30
no sign of|forward|trigger|negated|30
no significant change|both|pseudo|negated|30
no significant interval change|both|pseudo|negated|30
no significant|backward|termination|negated|30
no significant|forward|trigger|negated|30
no signs of|backward|termination|negated|30
no signs of|forward|trigger|negated|30
no signs or symptoms of|backward|termination|negated|30
no signs or symptoms of|forward|trigger|negated|30
no sign|backward|termination|negated|30
no sign|forward|trigger|negated|30
no suggestion of|backward|termination|negated|30
no suggestion of|forward|trigger|negated|30
no suspicious change|both|pseudo|negated|30
no suspicious|backward|termination|negated|30
no suspicious|forward|trigger|negated|30
no sxs of|backward|termination|negated|30
no sxs of|forward|trigger|negated|30
no visable|backward|termination|negated|30
no visable|forward|trigger|negated|30
non diagnostic|backward|trigger|negated|30
non diagnostic|forward|termination|negated|30
none|backward|termination|negated|30
none|forward|trigger|negated|30
nor all|backward|termination|negated|30
nor all|forward|trigger|negated|30
nor any|backward|termination|negated|30
nor any|forward|trigger|negated|30
nor|backward|termination|negated|30
nor|forward|trigger|negated|30
not a current|backward|termination|negated|30
not a current|forward|trigger|negated|30
not appear|backward|termination|negated|30
not appear|forward|trigger|negated|30
not appreciate|backward|termination|negated|30
not appreciate|forward|trigger|negated|30
not associated with|backward|termination|negated|30
not associated with|forward|trigger|negated|30
not attempted given|forward|termination|negated|30
not been ruled out|backward|trigger|uncertain|30
not cause|both|pseudo|negated|30
not certain if|both|pseudo|negated|30
not certain whether|both|pseudo|negated|30
not complain of|backward|termination|negated|30
not complain of|forward|trigger|negated|30
not current|backward|termination|negated|30
not current|forward|trigger|negated|30
not demonstrate|backward|termination|negated|30
not demonstrate|forward|trigger|negated|30
not drain|both|pseudo|negated|30
not exhibit|backward|termination|negated|30
not exhibit|forward|trigger|negated|30
not extend|both|pseudo|negated|30
not feel|backward|termination|negated|30
not feel|forward|trigger|negated|30
not had|backward|termination|negated|30
not had|forward|trigger|negated|30
not have evidence of|backward|termination|negated|30
not have evidence of|forward|trigger|negated|30
not have|backward|termination|negated|30
not have|forward|trigger|negated|30
not in acute|backward|termination|negated|30
not in acute|forward|trigger|negated|30
not interested|both|pseudo|negated|30
not in|backward|termination|negated|30
not in|forward|trigger|negated|30
not know of|backward|termination|negated|30
not know of|forward|trigger|negated|30
not known to have|backward|termination|negated|30
not known to have|forward|trigger|negated|30
not necessarily|both|pseudo|negated|30
not only|both|pseudo|negated|30
not on|both|pseudo|negated|30
not reveal|backward|termination|negated|30
not reveal|forward|trigger|negated|30
not ruled out|backward|trigger|uncertain|30
not see|backward|termination|negated|30
not see|forward|trigger|negated|30
not solve|both|pseudo|negated|30
not to be|backward|termination|negated|30
not to be|forward|trigger|negated|30
noted|both|termination|historical|30
noted|both|termination|nonpatient|30
#not|backward|termination|negated|30
not|forward|trigger|negated|30
now resolved|backward|trigger|negated|30
now resolved|forward|termination|negated|30
no|forward|trigger|negated|30
origin for|forward|termination|negated|30
origin of|forward|termination|negated|30
origins for|forward|termination|negated|30
origins of|forward|termination|negated|30
other possibilities of|forward|termination|negated|30
ought to be ruled out for|forward|trigger|uncertain|30
ought to be ruled out|backward|trigger|uncertain|30
past history|forward|trigger|historical|30
past medical history|forward|trigger|historical|30
patient continued to|forward|termination|negated|30
patient was not|backward|termination|negated|30
patient was not|forward|trigger|negated|30
patient's|both|termination|historical|30
patient's|both|termination|nonpatient|30
patient|both|termination|historical|30
patient|both|termination|nonpatient|30
poor history|both|pseudo|historical|30
possibility of|forward|trigger|uncertain|30
excludes possibility of|forward|trigger|certain|30
excluded possibility of|forward|trigger|certain|30
exclude possibility of|forward|trigger|certain|30
excluding possibility of|forward|trigger|certain|30
possible|forward|trigger|hypothetical|30
possible|forward|trigger|uncertain|30
possibly|forward|trigger|uncertain|30
poss|forward|trigger|uncertain|30
presenting|both|termination|historical|30
presenting|both|termination|nonpatient|30
presents|both|termination|historical|30
presents|both|termination|nonpatient|30
presumably|forward|trigger|uncertain|30
presumed to|forward|trigger|uncertain|30
prior to|forward|termination|negated|30
prn|forward|trigger|hypothetical|30
probable|forward|trigger|uncertain|30
probably|forward|trigger|uncertain|30
prophylaxis|backward|trigger|hypothetical|30
pt|both|termination|historical|30
pt|both|termination|nonpatient|30
question was|forward|trigger|uncertain|30
questioned|forward|trigger|uncertain|30
r o|forward|trigger|uncertain|30
rather than|backward|termination|negated|30
rather than|forward|trigger|negated|30
reason for|forward|termination|negated|30
reason of|forward|termination|negated|30
reasons for|forward|termination|negated|30
reasons of|forward|termination|negated|30
reported|both|termination|historical|30
reported|both|termination|nonpatient|30
reports|both|termination|historical|30
reports|both|termination|nonpatient|30
resolved|backward|trigger|negated|30
resolved|forward|trigger|negated|30
return|forward|trigger|hypothetical|30
risk of|forward|trigger|hypothetical|30
roommate called|both|termination|historical|30
roommate called|both|termination|nonpatient|30
roommates called|both|termination|historical|30
roommates called|both|termination|nonpatient|30
roommates|forward|trigger|nonpatient|30
roommate|forward|trigger|nonpatient|30
ro|forward|trigger|uncertain|30

rule her out for|forward|trigger|negated|30
rule her out|forward|trigger|negated|30
rule him out for|forward|trigger|negated|30
rule him out|forward|trigger|negated|30
rule out for|forward|trigger|negated|30
rule out|forward|trigger|negated|30
rule the patient out|forward|trigger|negated|30
rule the patinet out for|forward|trigger|negated|30


ruled her out against|backward|termination|negated|30
ruled her out against|forward|trigger|negated|30
ruled her out for|backward|termination|negated|30
ruled her out for|forward|trigger|negated|30
ruled her out|backward|termination|negated|30
ruled her out|forward|trigger|negated|30
ruled him out against|backward|termination|negated|30
ruled him out against|forward|trigger|negated|30
ruled him out for|backward|termination|negated|30
ruled him out for|forward|trigger|negated|30
ruled him out|backward|termination|negated|30
ruled him out|forward|trigger|negated|30
ruled out against|backward|termination|negated|30
ruled out against|forward|trigger|negated|30
ruled out for|backward|termination|negated|30
ruled out for|forward|trigger|negated|30
ruled out|backward|termination|negated|30
ruled out|forward|trigger|negated|30
ruled the patient out against|backward|termination|negated|30
ruled the patient out against|forward|trigger|negated|30
ruled the patient out for|backward|termination|negated|30
ruled the patient out for|forward|trigger|negated|30
ruled the patient out|backward|termination|negated|30
ruled the patient out|forward|trigger|negated|30
rules her out for|backward|termination|negated|30
rules her out for|forward|trigger|negated|30
rules her out|backward|termination|negated|30
rules her out|forward|trigger|negated|30
rules him out for|backward|termination|negated|30
rules him out for|forward|trigger|negated|30
rules him out|backward|termination|negated|30
rules him out|forward|trigger|negated|30
rules out for|backward|termination|negated|30
rules out for|forward|trigger|negated|30
rules out|backward|termination|negated|30
rules out|forward|trigger|negated|30
rules the patient out for|backward|termination|negated|30
rules the patient out for|forward|trigger|negated|30
rules the patient out|backward|termination|negated|30
rules the patient out|forward|trigger|negated|30
s p|both|pseudo|uncertain|30
secondary to|forward|termination|negated|30
secondary|forward|termination|negated|30
she continued to|forward|termination|negated|30
should be ruled out for|forward|trigger|uncertain|30
should be ruled out|backward|trigger|uncertain|30
should he|forward|trigger|hypothetical|30
should she|forward|trigger|hypothetical|30
should the patient|forward|trigger|hypothetical|30
should there|forward|trigger|hypothetical|30
show a question of|forward|trigger|uncertain|30
shown a question of|forward|trigger|uncertain|30
since april|backward|trigger|historical|30
since august|backward|trigger|historical|30
since december|backward|trigger|historical|30
since fall|backward|trigger|historical|30
since february|backward|trigger|historical|30
since january|backward|trigger|historical|30
since july|backward|trigger|historical|30
since june|backward|trigger|historical|30
since march|backward|trigger|historical|30
since may|backward|trigger|historical|30
since november|backward|trigger|historical|30
since october|backward|trigger|historical|30
since september|backward|trigger|historical|30
since spring|backward|trigger|historical|30
since summer|backward|trigger|historical|30
since winter|backward|trigger|historical|30
sister's|forward|trigger|nonpatient|30
sisters|forward|trigger|nonpatient|30
sister|forward|trigger|nonpatient|30
sister called|both|termination|historical|30
sister called|both|termination|nonpatient|30
sister reported|both|termination|historical|30
sister reported|both|termination|nonpatient|30
sister reports|both|termination|historical|30
sister reports|both|termination|nonpatient|30
social history|both|pseudo|historical|30
son called|both|termination|historical|30
son called|both|termination|nonpatient|30
son reported|both|termination|historical|30
son reported|both|termination|nonpatient|30
son reports|both|termination|historical|30
son reports|both|termination|nonpatient|30
sons|forward|trigger|nonpatient|30
son|forward|trigger|nonpatient|30
source for|forward|termination|negated|30
source of|forward|termination|negated|30
sources for|forward|termination|negated|30
sources of|forward|termination|negated|30
speaking with family|both|termination|historical|30
speaking with family|both|termination|nonpatient|30
spoke with family|both|termination|historical|30
spoke with family|both|termination|nonpatient|30
states|both|termination|historical|30
states|both|termination|nonpatient|30
status post|both|pseudo|uncertain|30
still|forward|termination|negated|30
stopped taking|both|pseudo|negated|30
studies to assess|forward|trigger|uncertain|30
study to assess|forward|trigger|uncertain|30
sudden onset of|both|pseudo|historical|30
sufficient to rule her out against|backward|termination|negated|30
sufficient to rule her out against|forward|trigger|negated|30
sufficient to rule her out for|backward|termination|negated|30
sufficient to rule her out for|forward|trigger|negated|30
sufficient to rule her out|backward|termination|negated|30
sufficient to rule her out|forward|trigger|negated|30
sufficient to rule him out against|backward|termination|negated|30
sufficient to rule him out against|forward|trigger|negated|30
sufficient to rule him out for|backward|termination|negated|30
sufficient to rule him out for|forward|trigger|negated|30
sufficient to rule him out|backward|termination|negated|30
sufficient to rule him out|forward|trigger|negated|30
sufficient to rule out against|backward|termination|negated|30
sufficient to rule out against|forward|trigger|negated|30
sufficient to rule out for|backward|termination|negated|30
sufficient to rule out for|forward|trigger|negated|30
sufficient to rule out|backward|termination|negated|30
sufficient to rule out|forward|trigger|negated|30
sufficient to rule the patient out against|backward|termination|negated|30
sufficient to rule the patient out against|forward|trigger|negated|30
sufficient to rule the patient out for|backward|termination|negated|30
sufficient to rule the patient out for|forward|trigger|negated|30
sufficient to rule the patient out|backward|termination|negated|30
sufficient to rule the patient out|forward|trigger|negated|30
#suggestive of|forward|trigger|uncertain|30
#suggest|forward|trigger|uncertain|30
suspected|forward|trigger|uncertain|30
suspicion for|forward|trigger|imuncertain|30
suspicious for|forward|trigger|imuncertain|30
talked with family|both|termination|historical|30
talked with family|both|termination|nonpatient|30
talking with family|both|termination|historical|30
talking with family|both|termination|nonpatient|30
the presumed|forward|trigger|uncertain|30
though|forward|termination|negated|30
to exclude|backward|termination|negated|30
to exclude|forward|trigger|negated|30
excluding|backward|termination|negated|30
excluding|forward|trigger|negated|30
to prevent|forward|trigger|hypothetical|30
today|both|termination|historical|30
today|both|termination|nonpatient|30
treatment of|both|pseudo|uncertain|30
trigger event for|forward|termination|negated|30
uncle's|forward|trigger|nonpatient|30
unclear dose|both|pseudo|uncertain|30
unclear|forward|trigger|uncertain|30
uncle|forward|trigger|nonpatient|30
unlikely|backward|trigger|negated|30
unlikely|forward|termination|negated|30
unremarkable|both|trigger|negated|30
unremarkable for|backward|termination|negated|30
unremarkable for|forward|trigger|negated|30
use|forward|trigger|hypothetical|30
w/o evidence of|backward|termination|negated|30
w/o evidence of|forward|trigger|negated|30
w/o evidence|backward|termination|negated|30
w/o evidence|forward|trigger|negated|30
w/o|backward|termination|negated|30
w/o|forward|trigger|negated|30
w o evidence of|backward|termination|negated|30
w o evidence of|forward|trigger|negated|30
w o evidence|backward|termination|negated|30
w o evidence|forward|trigger|negated|30
w o|backward|termination|negated|30
w o|forward|trigger|negated|30
wants to|forward|trigger|hypothetical|30
was found negative|backward|trigger|negated|30
was found negative|forward|termination|negated|30
was found|both|termination|historical|30
was found|both|termination|nonpatient|30
was initially suspected|backward|trigger|uncertain|30
was instructed|both|termination|historical|30
was instructed|both|termination|nonpatient|30
was negative|backward|trigger|negated|30
was negative|forward|termination|negated|30
was noted to be negative|backward|trigger|negated|30
was noted to be negative|forward|termination|negated|30
was not|backward|termination|negated|30
was not|forward|trigger|negated|30
was ruled out|backward|trigger|negated|30
was ruled out|forward|termination|negated|30
was stopped by|forward|termination|negated|30
was stopped due to|forward|termination|negated|30
was stopped|backward|trigger|negated|30
was stopped|forward|termination|negated|30
was suspected|backward|trigger|uncertain|30
wasn't|backward|termination|negated|30
wasn't|forward|trigger|negated|30
were instructed|both|termination|historical|30
were instructed|both|termination|nonpatient|30
were stopped|backward|trigger|negated|30
were stopped|forward|termination|negated|30
were totally|forward|termination|negated|30
what must be ruled out is|forward|trigger|uncertain|30
whether or not|forward|trigger|uncertain|30
whether or not|forward|pseudo|negated|30
which|both|termination|historical|30
which|both|termination|nonpatient|30
while|forward|termination|negated|30
who are not present|forward|termination|negated|30
will be ruled out for|forward|trigger|uncertain|30
will be ruled out|backward|trigger|uncertain|30
with \w+ dad|both|termination|historical|30
with \w+ dad|both|termination|nonpatient|30
with \w+ daughter|both|termination|historical|30
with \w+ daughter|both|termination|nonpatient|30
with \w+ father|both|termination|historical|30
with \w+ father|both|termination|nonpatient|30
with \w+ mom|both|termination|historical|30
with \w+ mom|both|termination|nonpatient|30
with \w+ mother|both|termination|historical|30
with \w+ mother|both|termination|nonpatient|30
with \w+ son|both|termination|historical|30
with \w+ son|both|termination|nonpatient|30
with a question of|forward|trigger|uncertain|30
with no|backward|termination|negated|30
with no|forward|trigger|negated|30
without \w+ evidence|backward|termination|negated|30
without \w+ evidence|forward|trigger|negated|30
without abnormal|backward|termination|negated|30
without abnormal|forward|trigger|negated|30
without active|backward|termination|negated|30
without active|forward|trigger|negated|30
without additional|backward|termination|negated|30
without additional|forward|trigger|negated|30
without any evidence of|backward|termination|negated|30
without any evidence of|forward|trigger|negated|30
without any|backward|termination|negated|30
without any|forward|trigger|negated|30
without an|backward|termination|negated|30
without an|forward|trigger|negated|30
without apparent|backward|termination|negated|30
without apparent|forward|trigger|negated|30
without audible|backward|termination|negated|30
without audible|forward|trigger|negated|30
without a|backward|termination|negated|30
without a|forward|trigger|negated|30
without becoming|backward|termination|negated|30
without becoming|forward|trigger|negated|30
without being|backward|termination|negated|30
without being|forward|trigger|negated|30
without causing|backward|termination|negated|30
without causing|forward|trigger|negated|30
without difficulties|both|pseudo|uncertain|30
without difficulty|both|pseudo|negated|30
without difficulty|both|pseudo|uncertain|30
without diff|both|pseudo|uncertain|30
without evidence of|backward|termination|negated|30
without evidence of|forward|trigger|negated|30
without evidence|backward|termination|negated|30
without evidence|forward|trigger|negated|30
without experiencing|backward|termination|negated|30
without experiencing|forward|trigger|negated|30
without further|backward|termination|negated|30
without further|forward|trigger|negated|30
without gross|backward|termination|negated|30
without gross|forward|trigger|negated|30
without having|backward|termination|negated|30
without having|forward|trigger|negated|30
without increased|backward|termination|negated|30
without increased|forward|trigger|negated|30
without indication of|backward|termination|negated|30
without indication of|forward|trigger|negated|30
without left|backward|termination|negated|30
without left|forward|trigger|negated|30
without major|backward|termination|negated|30
without major|forward|trigger|negated|30
without maximally|backward|termination|negated|30
without maximally|forward|trigger|negated|30
without mention of|backward|termination|negated|30
without mention of|forward|trigger|negated|30
without much|backward|termination|negated|30
without much|forward|trigger|negated|30
without new|backward|termination|negated|30
without new|forward|trigger|negated|30
without noted|backward|termination|negated|30
without noted|forward|trigger|negated|30
without noticed|backward|termination|negated|30
without noticed|forward|trigger|negated|30
without not|forward|trigger|uncertain|30
without no|forward|trigger|uncertain|30
without obvious|backward|termination|negated|30
without obvious|forward|trigger|negated|30
without other|backward|termination|negated|30
without other|forward|trigger|negated|30
without painful|backward|termination|negated|30
without painful|forward|trigger|negated|30
without paraspinal|backward|termination|negated|30
without paraspinal|forward|trigger|negated|30
without peripheral|backward|termination|negated|30
without peripheral|forward|trigger|negated|30
without purulent|backward|termination|negated|30
without purulent|forward|trigger|negated|30
without reported|backward|termination|negated|30
without reported|forward|trigger|negated|30
without right|backward|termination|negated|30
without right|forward|trigger|negated|30
without sign of|backward|termination|negated|30
without sign of|forward|trigger|negated|30
without significant|backward|termination|negated|30
without significant|forward|trigger|negated|30
without signs of|backward|termination|negated|30
without signs of|forward|trigger|negated|30
without some|backward|termination|negated|30
without some|forward|trigger|negated|30
without success|backward|trigger|negated|30
without success|forward|termination|negated|30
without the|backward|termination|negated|30
without the|forward|trigger|negated|30
without upward|backward|termination|negated|30
without upward|forward|trigger|negated|30
without using|backward|termination|negated|30
without using|forward|trigger|negated|30
without visible|backward|termination|negated|30
without visible|forward|trigger|negated|30
without vital|backward|termination|negated|30
without vital|forward|trigger|negated|30
without which|backward|termination|negated|30
without which|forward|trigger|negated|30
without|backward|termination|negated|30
without|forward|trigger|negated|30
worried about|forward|trigger|uncertain|30
worrisome for|forward|trigger|uncertain|30
yet|forward|termination|negated|30
##
given|forward|termination|uncertain|4
##
given|forward|termination|hypothetical|4
##
with resolution of|forward|trigger|negated|5
##
call|forward|trigger|negated|5
##
negative|forward|trigger|negated|30
## if tokenize include punctuations
w / o evidence of|backward|termination|negated|30
w / o evidence of|forward|trigger|negated|30
w / o evidence|backward|termination|negated|30
w / o evidence|forward|trigger|negated|30
w / o|backward|termination|negated|30
w / o|forward|trigger|negated|30
w / out|backward|termination|negated|10
w / out|forward|trigger|negated|10
f / h|forward|trigger|nonpatient|30
h / o|forward|trigger|historical|30
h / o|forward|trigger|nonpatient|30
no e / o|backward|termination|negated|30
no e / o|forward|trigger|negated|30
no h / o|backward|termination|negated|30
no h / o|forward|trigger|negated|30
r / o|forward|trigger|certain|30
r / o|forward|trigger|negated|30
> 13 - day of|forward|trigger|historical|30
> 13 - days of|forward|trigger|historical|30
> 0 - month of|forward|trigger|historical|30
> 0 - months of|forward|trigger|historical|30
> 0 - year of|forward|trigger|historical|30
> 0 - years of|forward|trigger|historical|30
> 1 -week of|forward|trigger|historical|30
> 1 -weeks of|forward|trigger|historical|30
dont|forward|trigger|negated|20
don t|forward|trigger|negated|20
high risk for|forward|trigger|no|20
at risk for|forward|trigger|no|20
don ' t|forward|trigger|negated|20
monitor for|forward|trigger|hypothetical|30
evaluate for|forward|trigger|no|30
evaluation of|forward|trigger|no|30
evaluation for|forward|trigger|no|30
assessment of|forward|trigger|no|30
assessment for|forward|trigger|no|30
assess|forward|trigger|no|10
#https://pulse.utah.edu/document_center/nonsearched/Pulmonary-Embolism-Care-Pathway-Algorithms.pdf#page=5
pathway|backward|trigger|no|10
protocol|backward|trigger|no|10


no filling defect to suggest|forward|trigger|imuncertain|30
#VASCULAR: The exam is of suboptimal quality for diagnosis of pulmonary embolism secondary to patient habitus.
suboptimal quality for|forward|trigger|imuncertain|30
suboptimal quality for|forward|trigger|no|30
for diagnosis of|forward|trigger|no|30

#There are no secondary findings of  peripheral occlusive pulmonary embolism
no \w+ findings of|forward|trigger|imuncertain|30
no \w+ findings of|forward|trigger|no|30
no findings of|forward|trigger|imuncertain|30
no findings of|forward|trigger|no|30
#indication|forward|trigger|uncertain|30
no \w+ \w+ to suggest|forward|trigger|imuncertain|30
no \w+ \w+ to suggest|forward|trigger|no|30
no \w+ to suggest|forward|trigger|imuncertain|30
no \w+ to suggest|forward|trigger|no|30
no \w+ \w+ \w+ to suggest|forward|trigger|imuncertain|30
no \w+ \w+ \w+ to suggest|forward|trigger|no|30
#Findings are consistent with intermediate probability for pulmonary  embolism.
intermediate probability|forward|trigger|imuncertain|30
#Indications: Pulmonary embolism seen on prior study.
on prior study|backward|trigger|historical|30
nondiagnostic|forward|trigger|imuncertain|30

#No secondary manifestations of  peripheral occlusive pulmonary embolism including acute vessel caliber change or pleural-based lung opacity.
no secondary|forward|trigger|negated|30

#Scintigraphic findings are consistent with a low probability for pulmonary embolism.
low probability|forward|trigger|negated|30
low probability|forward|trigger|imuncertain|30
high probability|forward|termination|imcertain|30

#4) and image 40 of series 7) which could represent small old/chronic pulmonary embolism.
could represent|forward|trigger|imuncertain|30
history :|forward|trigger|no|30

#VASCULAR: The bolus is of poor quality for diagnosis of pulmonary embolism.
poor quality for|forward|trigger|imuncertain|30
poor quality for|forward|trigger|no|30
#STUDY QUALITY: The examination is suboptimal for the diagnosis of pulmonary embolism.
suboptimal for the diagnosis of|forward|trigger|imuncertain|30
suboptimal for the diagnosis of|forward|trigger|no|30
suboptimal for diagnosis of|forward|trigger|imuncertain|30
suboptimal for diagnosis of|forward|trigger|no|30
optimal for diagnosis of|forward|trigger|imcertain|30
optimal for diagnosis of|forward|trigger|no|30
optimal for the diagnosis of|forward|trigger|imcertain|30
optimal for the diagnosis of|forward|trigger|no|30

#STUDY QUALITY: The examination is adequate for the diagnosis of pulmonary embolism.
examination is adequate for|forward|trigger|imcertain|30
examination is adequate for|forward|trigger|no|30
examination with|forward|trigger|no|30
exam is adequate for|forward|trigger|imcertain|30
exam is adequate for|forward|trigger|no|30
adequate for the detection|forward|trigger|imcertain|30
adequate for the detection|forward|trigger|no|30
adequate for detection|forward|trigger|imcertain|30
adequate for detection|forward|trigger|no|30
adequate to detect|forward|trigger|imcertain|30
adequate to detect|forward|trigger|no|30
concern for|forward|trigger|imuncertain|30
study quality|forward|trigger|no|30


#EXAM: CT chest with contrast pulmonary arteries for pulmonary embolism
ct chest with contrast \w+ \w+ for|forward|trigger|no|30
ct chest \w+ \w+ for|forward|trigger|no|30
ct \w+ \w+ for|forward|trigger|no|30
exam :|forward|trigger|no|30
protocol|backward|trigger|no|4
nondiagnostic|both|trigger|no|30
#INDICATION: Chest pain, prior pulmonary embolus x2, factor V Leiden
prior|forward|trigger|historical|3
previously demonstrated|forward|trigger|no|30
may not be visualized|backward|trigger|imuncertain|30

#Resolution of previously seen pulmonary emboli.
resolution of|forward|trigger|no|30

#Virtually excludes possibility of acute pulmonary embolism..
excludes possibility of|forward|trigger|negated|30

#However, most perfusions abnormalities would be expected to resolve by 8 weeks following a PE. Therefore, a prior PE cannot be excluded.
be expected to|forward|trigger|hypothetical|30


unable to visualize|backward|trigger|imuncertain|30
study is limited|both|trigger|imuncertain|30
study was limited|both|trigger|imuncertain|30
views were limited|both|trigger|imuncertain|30
limits evaluation|both|trigger|imuncertain|30
limits assessment|both|trigger|imuncertain|30
limited evaluation|both|trigger|imuncertain|30
limited study|both|trigger|imuncertain|30
limited views|both|trigger|imuncertain|30
limited examination|both|trigger|imuncertain|30
limited exam|both|trigger|imuncertain|30
limited assessment|both|trigger|imuncertain|30
evaluation is limited|both|trigger|imuncertain|30
evaluation was limited|both|trigger|imuncertain|30
assessment is limited|both|trigger|imuncertain|30
assessment was limited|both|trigger|imuncertain|30
#examination was technically limited
examination was \w+ limited|both|trigger|imuncertain|30
examination is \w+ limited|both|trigger|imuncertain|30
evaluation was \w+ limited|both|trigger|imuncertain|30
evaluation is \w+ limited|both|trigger|imuncertain|30
cannot be assessed|both|trigger|imuncertain|30
cannot be confirmed|both|trigger|imuncertain|30
cannot be evaluated|both|trigger|imuncertain|30

incompletely visualized|both|trigger|imuncertain|30
incomplete visualization|both|trigger|imuncertain|30
poorly visualized|both|trigger|imuncertain|30
poor visualization|both|trigger|imuncertain|30
poor views|both|trigger|imuncertain|30
suboptimal study|both|trigger|imuncertain|30
evaluation of \w+ \w+ \w+ \w+ is limited|both|trigger|imuncertain|30
evaluation of \w+ \w+ \w+ is limited|both|trigger|imuncertain|30
evaluation of \w+ \w+ is limited|both|trigger|imuncertain|30
evaluation of \w+ is limited|both|trigger|imuncertain|30
assessment of \w+ \w+ \w+ \w+ is limited|both|trigger|imuncertain|30
assessment of \w+ \w+ \w+ is limited|both|trigger|imuncertain|30
assessment of \w+ \w+ is limited|both|trigger|imuncertain|30
assessment of \w+ is limited|both|trigger|imuncertain|30
examination is suboptimal|both|trigger|imuncertain|30
exam is suboptimal|both|trigger|imuncertain|30
study is suboptimal|both|trigger|imuncertain|30
view is suboptimal|both|trigger|imuncertain|30
examination was suboptimal|both|trigger|imuncertain|30
exam was suboptimal|both|trigger|imuncertain|30
study was suboptimal|both|trigger|imuncertain|30
view was suboptimal|both|trigger|imuncertain|30
not visualized|both|trigger|imuncertain|30
incompletely evaluated|both|trigger|imuncertain|30
lack of \w+ views|both|trigger|imuncertain|30
